team,season,cap_hit_total,cap_hit_active,cap_hit_inactive,cap_hit_active_inactive_total_pct,position_level_two,position_level_two_cap_hit,position_level_two_cap_hit_pct,position_level_two_cap_hit_active,position_level_two_cap_hit_pct_of_active_cap,position_level_two_cap_hit_active_pct_of_total_cap,position_level_two_cap_hit_inactive,position_level_two_cap_hit_pct_of_inactive_cap,position_level_two_cap_hit_inactive_pct_of_total_cap,w,l,pct,pf,pa,net_pts,div_win_pct,conf_win_pct
arizona-cardinals,2015,144707976.0,120691340.0,24016636.0,83.40337784836407,special_team,2303000.0,1.5914810390271785,1760500.0,1.4586796368322699,1.2165880891043628,542500.0,2.258850906513302,0.3748929499228156,13,3,0.813,489,313,176,0.667,0.833
arizona-cardinals,2015,144707976.0,120691340.0,24016636.0,83.40337784836407,tight_end,5456256.0,3.7705288615190082,4533761.0,3.7564923879376932,3.1330415401567087,922495.0,3.841066667288458,0.6374873213623,13,3,0.813,489,313,176,0.667,0.833
arizona-cardinals,2015,144707976.0,120691340.0,24016636.0,83.40337784836407,wide_receiver,18599133.0,12.852873431109286,16265925.0,13.477292571281419,11.240517246955344,2333208.0,9.714965909463755,1.6123561841539407,13,3,0.813,489,313,176,0.667,0.833
arizona-cardinals,2016,155855865.0,111290277.0,44565588.0,71.40589608225523,defensive_line,26494109.0,16.99910940149734,25399973.0,22.82317349250555,16.297091546731334,1094136.0,2.4551140220566596,0.7020178547660045,7,8,0.469,418,362,56,0.75,0.542
arizona-cardinals,2016,155855865.0,111290277.0,44565588.0,71.40589608225523,linebacker,18042545.0,11.57642992774125,11441026.0,10.280346413370864,7.340773476827452,6601519.0,14.813041398668409,4.235656450913798,7,8,0.469,418,362,56,0.75,0.542
arizona-cardinals,2016,155855865.0,111290277.0,44565588.0,71.40589608225523,offensive_line,21666037.0,13.901329282667675,9446322.0,8.488002954651645,6.060934569257307,12219715.0,27.419620268445687,7.840394713410367,7,8,0.469,418,362,56,0.75,0.542
arizona-cardinals,2016,155855865.0,111290277.0,44565588.0,71.40589608225523,quarterback,21116794.0,13.548924835135335,20967646.0,18.840501223660354,13.453228725142937,149148.0,0.3346707778207706,0.09569610999239586,7,8,0.469,418,362,56,0.75,0.542
arizona-cardinals,2016,155855865.0,111290277.0,44565588.0,71.40589608225523,running_back,5174097.0,3.3197961462662953,3554463.0,3.1938666124444994,2.2806090742879648,1619634.0,3.6342704599791213,1.0391870719783307,7,8,0.469,418,362,56,0.75,0.542
arizona-cardinals,2016,155855865.0,111290277.0,44565588.0,71.40589608225523,secondary,28722264.0,18.42873478004822,16920253.0,15.203711821114435,10.856346663630529,11802011.0,26.482341038560964,7.572388116417692,7,8,0.469,418,362,56,0.75,0.542
arizona-cardinals,2016,155855865.0,111290277.0,44565588.0,71.40589608225523,special_team,2608866.0,1.6738965838725413,1235792.0,1.1104222518917803,0.792906959260083,1373074.0,3.081018475510746,0.8809896246124583,7,8,0.469,418,362,56,0.75,0.542
arizona-cardinals,2016,155855865.0,111290277.0,44565588.0,71.40589608225523,tight_end,6226020.0,3.994729361002873,4412867.0,3.965186464582166,2.831376926367192,1813153.0,4.068504604943168,1.163352434635681,7,8,0.469,418,362,56,0.75,0.542
arizona-cardinals,2016,155855865.0,111290277.0,44565588.0,71.40589608225523,wide_receiver,25805133.0,16.557049681768472,17911935.0,16.094788765778702,11.49262814075043,7893198.0,17.711418954014473,5.064421541018042,7,8,0.469,418,362,56,0.75,0.542
arizona-cardinals,2017,169351526.0,104474970.0,64876556.0,61.69118901237418,defensive_line,12203887.0,7.206245664417573,11782746.0,11.278056361250929,6.957567066741401,421141.0,0.6491420413870305,0.24867859767617329,8,8,0.5,295,361,-66,0.5,0.417
arizona-cardinals,2017,169351526.0,104474970.0,64876556.0,61.69118901237418,linebacker,24521358.0,14.479561288393706,19474480.0,18.640330789279002,11.499441699745889,5046878.0,7.7792014730251715,2.9801195886478165,8,8,0.5,295,361,-66,0.5,0.417
arizona-cardinals,2017,169351526.0,104474970.0,64876556.0,61.69118901237418,offensive_line,29484365.0,17.410156079727322,6432180.0,6.156670827471881,3.7981234370453794,23052185.0,35.53238091121853,13.612032642681946,8,8,0.5,295,361,-66,0.5,0.417
arizona-cardinals,2017,169351526.0,104474970.0,64876556.0,61.69118901237418,quarterback,29428451.0,17.377139548184527,5264117.0,5.038639398508561,3.10839655498587,24164334.0,37.246634978589185,14.268742993198655,8,8,0.5,295,361,-66,0.5,0.417
arizona-cardinals,2017,169351526.0,104474970.0,64876556.0,61.69118901237418,running_back,4361031.0,2.575135343037889,1218529.0,1.1663358218719757,0.7195264363900683,3142502.0,4.843817541732641,1.855608906647821,8,8,0.5,295,361,-66,0.5,0.417
arizona-cardinals,2017,169351526.0,104474970.0,64876556.0,61.69118901237418,secondary,36368302.0,21.47503648712324,29452810.0,28.191259590694308,17.391523239064288,6915492.0,10.659462256288696,4.083513248058952,8,8,0.5,295,361,-66,0.5,0.417
arizona-cardinals,2017,169351526.0,104474970.0,64876556.0,61.69118901237418,special_team,4778735.0,2.821784434348705,4403147.0,4.214547273858992,2.600004324732214,375588.0,0.5789271551344372,0.22178010961649086,8,8,0.5,295,361,-66,0.5,0.417
arizona-cardinals,2017,169351526.0,104474970.0,64876556.0,61.69118901237418,tight_end,6213335.0,3.668898147395495,5535729.0,5.298617458325185,3.268780111258047,677606.0,1.044454332625178,0.40011803613744823,8,8,0.5,295,361,-66,0.5,0.417
arizona-cardinals,2017,169351526.0,104474970.0,64876556.0,61.69118901237418,wide_receiver,21992062.0,12.986043007371542,20911232.0,20.015542478739164,12.347826142411023,1080830.0,1.6659793099991314,0.63821686496052,8,8,0.5,295,361,-66,0.5,0.417
